,neighborhood,post title,URL,price,longitude,latitude
7880," (River North, Merchandise Mart, River Walk, Brown Line, Ohio)",River North Corner 1BD/1BA - Available MAY! 140,https://chicago.craigslist.org/chc/apa/d/chicago-river-north-corner-1bd-1ba/7073829985.html,2566,-87.634215,41.890836
7881, (Chicago - River North),Modern One Bedroom in River North ~ Pool & Gym,https://chicago.craigslist.org/chc/apa/d/chicago-modern-one-bedroom-in-river/7077603574.html,2136,-87.634215,41.890836
7882, (Chicago - River North),Modern Jr 1 Bedroom in River North ~ Pool & Gym,https://chicago.craigslist.org/chc/apa/d/chicago-modern-jr-1-bedroom-in-river/7077625578.html,1800,-87.634215,41.890836
7883, (Chicago - River North),"Eco-luxe River North 1 BED+DEN - W/D in unit, Bright, Hardwood, Gym",https://chicago.craigslist.org/chc/apa/d/chicago-eco-luxe-river-north-1-bedden-d/7080635221.html,2250,-87.634215,41.890836
7884, (Chicago - River North),Modern One Bedroom in River North ~ Pool & Gym,https://chicago.craigslist.org/chc/apa/d/chicago-modern-one-bedroom-in-river/7081378495.html,2136,-87.634215,41.890836
7885, (Chicago),PERFECT PLACE IN WALKERS PARADISE  1bd/1bth,https://chicago.craigslist.org/chc/apa/d/chicago-perfect-place-in-walkers/7073427414.html,1995,-87.626752,41.890032
7886, (River North),"Large corner 1br w/fab views! Heat INCL Walk-in Closets! Gym, pool",https://chicago.craigslist.org/chc/apa/d/chicago-large-corner-1br-fab-views-heat/7075927329.html,1715,-87.626752,41.890032
7887, (West Loop),"$1,300/1br in a 2br West Loop apt",https://chicago.craigslist.org/chc/apa/d/chicago-br-in-2br-west-loop-apt/7079529968.html,1300,-87.642306,41.879875
7888, (Chicago),"Gorgeous West Loop condo, 1 bed + Den, 2 bath",https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-west-loop-condo-1-bed/7069789718.html,2200,-87.643,41.8814
7889, (West Loop/Downtown/Fulton Market/Loop),"LUX FINISHES, W/D, HARDWOOD, BALCONY, ROOFTOP POOL, GYM, DOG RUN & SPA",https://chicago.craigslist.org/chc/apa/d/chicago-lux-finishes-d-hardwood-balcony/7070132953.html,1965,-87.643,41.8814
7890, (West Loop),West Loop Apartment Sublet,https://chicago.craigslist.org/chc/apa/d/chicago-west-loop-apartment-sublet/7071761140.html,2000,-87.643,41.8814
7891, (Chicago - Fulton River District),"Don't Miss Out! West Loop 1/1, W/D in Unit, Close to Transportation",https://chicago.craigslist.org/chc/apa/d/chicago-dont-miss-out-west-loop-1-1-d/7072371772.html,1882,-87.643,41.8814
7892, (Chicago - West Loop),"Gorgeous West Loop 1 Bedroom, W/D, Floor to Ceiling Windows, Gym",https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-west-loop-1-bedroom-d/7072375095.html,2406,-87.643,41.8814
7893, (Chicago - West Loop),"West Loop/Union Station. 1Bed. 24Hr.Door Staff, Spacious Unit",https://chicago.craigslist.org/chc/apa/d/chicago-west-loop-union-station-1bed/7073041287.html,1523,-87.643,41.8814
7894, (Chicago - West Loop),"West Loop/Union Station. Jr.1bed. 24hr. Doorstaff, Great Deal/Location",https://chicago.craigslist.org/chc/apa/d/chicago-west-loop-union-station-jr1bed/7078472395.html,1550,-87.643,41.8814
7895, (Chicago - Fulton River District),"Trendy Fulton District 1BD! In unit W/D, Great Location!",https://chicago.craigslist.org/chc/apa/d/chicago-trendy-fulton-district-1bd-in/7078493599.html,1813,-87.643,41.8814
7896, (Chicago - West Loop),Amazing west loop 1 Bed.  Pets OK.  Newly Remolded,https://chicago.craigslist.org/chc/apa/d/chicago-amazing-west-loop-1-bed-pets-ok/7078967334.html,1685,-87.643,41.8814
7897, (Chicago),Large Fresh!! 1BDR Lower Unit w/Carpet! New Listing Renting to own!,https://chicago.craigslist.org/chc/apa/d/chicago-large-fresh-1bdr-lower-unit/7071026343.html,765,-87.6321,41.8829
7898, (chicago-LOOP),"208 Washington-1 Br/1 Ba,SS appl,hdwd,balcony,gas FP,w/d,fab amens",https://chicago.craigslist.org/chc/apa/d/chicago-208-washington-1-br-1-bass/7072954191.html,1725,-87.63389,41.883259
7899, (Loop),Great Loft-Style Condo in the Heart of the Loop,https://chicago.craigslist.org/chc/apa/d/chicago-great-loft-style-condo-in-the/7077974214.html,1700,-87.63389,41.883259
7900, (The Loop),"Furnished, Dapper Loop 1BR w/ Gym, Pool, W/D near the L",https://chicago.craigslist.org/chc/apa/d/chicago-furnished-dapper-loop-1br-gym/7079607139.html,2890,-87.634098,41.883256
7901, (Chicago - River North),VIEWS FROM SKYSCRAPER ! BEST PRICE! AVAILABLE NOW!!,https://chicago.craigslist.org/chc/apa/d/chicago-views-from-skyscraper-best/7084307929.html,1755,-87.632463,41.884529
7902, (Chicago),1 Bedroom Apartment for Rent,https://chicago.craigslist.org/chc/apa/d/chicago-1-bedroom-apartment-for-rent/7070271620.html,1850,-87.634394,41.883233
7903," (Loop, Wacker, River Walk, Clark/Lake, Daley Center)",Get $1000!  Loop 1BD+Den/1BA - Available NOW! 035,https://chicago.craigslist.org/chc/apa/d/chicago-get-1000-loop-1bdden-1ba/7068123947.html,2370,-87.631007,41.88453
7904," (Loop, Wacker, River Walk, Clark/Lake, Daley Center)",Get $1000!  Loop 2BD/2BA - Available NOW! 035,https://chicago.craigslist.org/chc/apa/d/chicago-get-1000-loop-2bd-2ba-available/7068124403.html,2840,-87.631007,41.88453
7905, (Chicago - Gold Coast),Gold Coast PLACE IN CHICAGO! BEST PRICE!,https://chicago.craigslist.org/chc/apa/d/chicago-gold-coast-place-in-chicago/7075862676.html,1605,-87.629552,41.883232
7906, (Chicago),Studio in heart of the loop!,https://chicago.craigslist.org/chc/apa/d/chicago-studio-in-heart-of-the-loop/7077160392.html,1700,-87.63371,41.884541
7907, (Chicago),Convertible in the heart of the Loop!!,https://chicago.craigslist.org/chc/apa/d/chicago-convertible-in-the-heart-of-the/7077178288.html,1715,-87.63371,41.884541
7908, (Chicago),One bed One bath in the heart of the Loop !!,https://chicago.craigslist.org/chc/apa/d/chicago-one-bed-one-bath-in-the-heart/7077183270.html,2160,-87.63371,41.884541
7909," (Loop, Wacker, River Walk, Clark/Lake, Daley Center)",Get $1000!  Loop Convertible - Available NOW!  035,https://chicago.craigslist.org/chc/apa/d/chicago-get-1000-loop-convertible/7068119508.html,1765,-87.634007,41.884544
7910, (Chicago - The Loop),"Boutique Loop Convertible - Washer/Dryer, Indoor Pool, Gym.",https://chicago.craigslist.org/chc/apa/d/chicago-boutique-loop-convertible/7069598977.html,1700,-87.634007,41.884544
7911, (Chicago - The Loop),"Playful JR 1 BED in The Loop with W/D IN UNIT, indoor pool, club room",https://chicago.craigslist.org/chc/apa/d/chicago-playful-jr-1-bed-in-the-loop/7080268523.html,1653,-87.634007,41.884544
